ID;Konfiguration;InputResolution;InputResolution-error;InputResolution-median;ProcessingResolution;ProcessingResolution-error;ProcessingResolution-median;DisplayFunction(ms);DisplayFunction(ms)-error;DisplayFunction(ms)-median;ObjectFound;ObjectFound-error;ObjectFound-median;AnalyzeSceneFrame(ms);AnalyzeSceneFrame(ms)-error;AnalyzeSceneFrame(ms)-median;AnalyzerProcess(ms);AnalyzerProcess(ms)-error;AnalyzerProcess(ms)-median;SceneKeypoints;SceneKeypoints-error;SceneKeypoints-median;ObjectKeypoints;ObjectKeypoints-error;ObjectKeypoints-median;GoodSceneKeypoints;GoodSceneKeypoints-error;GoodSceneKeypoints-median;GoodTrainKeypoints;GoodTrainKeypoints-error;GoodTrainKeypoints-median;Inliers;Inliers-error;Inliers-median;Outliers;Outliers-error;Outliers-median;InliersCalc(ms);InliersCalc(ms)-error;InliersCalc(ms)-median;DescriptorType;DescriptorType-error;DescriptorType-median;MatchingDescriptors(ms);MatchingDescriptors(ms)-error;MatchingDescriptors(ms)-median;PerspectiveTransform(ms);PerspectiveTransform(ms)-error;PerspectiveTransform(ms)-median;TrackerInitialize(ms);TrackerInitialize(ms)-error;TrackerInitialize(ms)-median;TrackerCorners;TrackerCorners-error;TrackerCorners-median;isInImage;isInImage-error;isInImage-median;isObjectInsideImage(ms);isObjectInsideImage(ms)-error;isObjectInsideImage(ms)-median;TrackingProcess(ms);TrackingProcess(ms)-error;TrackingProcess(ms)-median;Deviation;Deviation-error;Deviation-median
1;ORB-BRISK-BF;336x252;;336x252;305x229;;305x229;60.12;10.50;51.18;1.00;1.00;true;3.63;0.78;2.97;59.84;10.50;50.89;203.00;0.00;203.00;272.00;0.00;272.00;272.00;0.00;272.00;272.00;0.00;272.00;31.00;0.00;31.00;241.00;0.00;241.00;52.33;9.93;43.31;binary;;binary;4.92;1.57;4.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
2;ORB-ORB-BF;336x252;;336x252;305x229;;305x229;61.31;4.11;59.56;1.00;1.00;true;4.94;0.73;4.27;61.04;4.11;59.30;430.00;0.00;430.00;463.00;0.00;463.00;463.00;0.00;463.00;463.00;0.00;463.00;53.00;0.00;53.00;410.00;0.00;410.00;47.66;3.37;45.13;binary;;binary;8.81;1.34;9.79;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
3;SURF-SURF-Flann;336x252;;336x252;305x229;;305x229;63.92;3.02;63.61;0.44;0.44;false;58.81;3.11;58.76;63.67;3.03;63.33;166.00;0.00;166.00;213.00;0.00;213.00;15.50;2.50;15.00;15.50;2.50;15.00;11.00;2.00;9.00;4.50;1.50;5.00;1.00;0.42;0.88;float;;float;4.07;0.52;3.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
4;DENSE-AKAZE-BF;336x252;;336x252;305x229;;305x229;73.30;3.47;70.91;1.00;1.00;true;27.53;2.30;25.51;73.04;3.47;70.64;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;44.64;3.09;42.01;binary;;binary;2.47;0.06;2.49;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
5;FAST-AKAZE-BF;336x252;;336x252;305x229;;305x229;76.71;6.59;71.82;1.00;1.00;true;31.89;6.36;25.84;76.44;6.59;71.55;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;44.79;3.12;42.23;binary;;binary;2.53;0.36;2.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
6;SIFT-SIFT-Flann;336x252;;336x252;305x229;;305x229;75.43;7.95;72.61;1.00;1.00;true;64.95;6.15;63.02;75.16;7.96;72.34;400.00;0.00;400.00;400.00;0.00;400.00;49.00;3.00;49.00;49.00;3.00;49.00;28.00;3.00;29.00;20.50;3.50;21.00;1.68;0.77;1.34;float;;float;9.01;1.72;7.58;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
7;STAR-AKAZE-BF;336x252;;336x252;305x229;;305x229;73.61;3.56;72.61;1.00;1.00;true;28.88;2.76;26.93;73.35;3.56;72.33;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;44.70;3.04;42.91;binary;;binary;2.08;0.72;2.47;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
8;SIFT-SIFT-BF;336x252;;336x252;305x229;;305x229;89.94;20.79;72.76;1.00;1.00;true;78.97;18.76;78.33;89.46;20.65;73.87;400.00;0.00;400.00;400.00;0.00;400.00;47.00;0.00;47.00;47.00;0.00;47.00;29.00;0.00;29.00;18.00;0.00;18.00;1.57;0.59;1.46;float;;float;8.92;2.86;8.66;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
9;ORB-AKAZE-BF;336x252;;336x252;305x229;;305x229;75.06;3.61;73.23;1.00;1.00;true;29.48;2.45;27.63;74.79;3.61;72.93;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;45.02;3.29;42.48;binary;;binary;2.46;0.60;2.48;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
10;GFTT-AKAZE-BF;336x252;;336x252;305x229;;305x229;74.53;2.84;73.58;1.00;1.00;true;30.02;2.52;27.96;74.26;2.84;73.31;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;43.06;1.50;42.05;binary;;binary;2.21;0.33;2.48;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
11;BRISK-AKAZE-BF;336x252;;336x252;305x229;;305x229;79.13;7.06;75.10;1.00;1.00;true;31.77;3.65;28.86;78.88;7.06;74.79;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;44.86;3.20;42.77;binary;;binary;2.30;0.47;2.48;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
12;MSER-AKAZE-BF;336x252;;336x252;305x229;;305x229;83.82;3.29;81.80;1.00;1.00;true;38.88;2.28;37.02;83.55;3.29;81.53;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;44.42;2.84;42.07;binary;;binary;1.93;0.60;1.90;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
13;AKAZE-AKAZE-BF;336x252;;336x252;305x229;;305x229;94.89;7.59;89.92;1.00;1.00;true;48.07;5.04;44.66;94.62;7.59;89.65;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;44.50;2.88;42.08;binary;;binary;1.98;0.57;2.47;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
14;SURF-AKAZE-BF;336x252;;336x252;305x229;;305x229;101.39;12.74;93.56;1.00;1.00;true;53.14;8.72;47.66;101.04;12.67;93.27;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;46.00;4.44;43.03;binary;;binary;2.98;1.55;2.49;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
15;SIFT-AKAZE-BF;336x252;;336x252;305x229;;305x229;98.67;6.40;93.86;1.00;1.00;true;53.46;5.32;49.58;98.39;6.38;93.59;157.00;0.00;157.00;161.00;0.00;161.00;161.00;0.00;161.00;161.00;0.00;161.00;20.00;0.00;20.00;141.00;0.00;141.00;44.22;2.61;42.19;binary;;binary;1.90;0.56;1.89;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
16;SURF-SIFT-BF;336x252;;336x252;305x229;;305x229;123.3;4.25;121.17;1.00;1.00;true;116.57;4.20;114.31;123.03;4.25;120.89;166.00;0.00;166.00;213.00;0.00;213.00;44.00;0.00;44.00;44.00;0.00;44.00;18.00;0.00;18.00;26.00;0.00;26.00;4.86;0.75;4.19;float;;float;2.52;0.77;2.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
17;ORB-SURF-Flann;336x252;;336x252;305x229;;305x229;246.75;3.67;245.62;1.00;1.00;true;234.98;3.89;235.97;246.47;3.64;245.35;430.00;0.00;430.00;463.00;0.00;463.00;24.00;5.00;24.00;24.00;5.00;24.00;16.00;5.00;16.00;8.00;4.00;7.00;1.76;1.25;0.87;float;;float;10.78;2.40;8.50;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
18;ORB-SURF-BF;336x252;;336x252;305x229;;305x229;249.22;4.24;248.49;1.00;1.00;true;237.27;4.25;236.17;248.92;4.21;248.22;430.00;0.00;430.00;463.00;0.00;463.00;19.00;0.00;19.00;19.00;0.00;19.00;13.00;0.00;13.00;6.00;0.00;6.00;1.01;0.30;0.74;float;;float;10.71;1.96;10.95;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;nill;;nill;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;10.00
